,Airline,Hour,AvgDestDelay,LowDestDelay,HighDestDelay,AvgOrgDelay,LowOrgDelay,HighOrgDelay
0,AA,-1,15.841189267585207,-49.0,1201.0,18.023930384336477,-20.0,1190.0
13,WN,-1,5.815530441122858,-34.0,292.0,10.527524608093328,-14.0,297.0
12,VX,-1,-4.0,-38.0,77.0,1.5592105263157894,-16.0,73.0
11,US,-1,0.18968871595330739,-46.0,282.0,3.609922178988327,-15.0,293.0
10,UA,-1,6.432624113475177,-51.0,506.0,14.810874704491725,-13.0,492.0
8,NK,-1,7.588014981273409,-37.0,169.0,10.183520599250937,-21.0,169.0
7,MQ,-1,13.94151212553495,-40.0,224.0,13.718972895863052,-19.0,236.0
9,OO,-1,12.58093903293623,-54.0,310.0,13.012613875262788,-27.0,310.0
5,F9,-1,16.99616858237548,-26.0,173.0,14.980842911877394,-14.0,183.0
4,EV,-1,2.9393939393939394,-43.0,384.0,5.147527910685805,-22.0,373.0
3,DL,-1,-7.607855763039279,-53.0,847.0,3.455891822279459,-19.0,860.0
2,B6,-1,1.1822985468956406,-41.0,192.0,5.616908850726552,-18.0,184.0
1,AS,-1,-3.6970387243735763,-44.0,160.0,1.2118451025056947,-21.0,160.0
6,HA,-1,6.746411483253588,-21.0,186.0,4.220095693779904,-13.0,171.0
214,OO,00,37.7,-3.0,97.0,36.8,-10.0,125.0
236,UA,00,10.0,-23.0,84.0,20.59090909090909,-7.0,100.0
130,F9,00,47.2,-14.0,113.0,49.2,-6.0,106.0
305,WN,00,20.208333333333332,-22.0,115.0,31.208333333333332,-14.0,134.0
38,AS,00,-9.166666666666666,-32.0,34.0,3.25,-13.0,48.0
86,DL,00,-13.352941176470589,-37.0,21.0,1.1764705882352942,-7.0,18.0
284,VX,00,-14.0,-26.0,-1.0,2.5,-5.0,20.0
192,NK,00,2.7777777777777777,-13.0,37.0,4.777777777777778,-15.0,26.0
173,MQ,00,17.0,17.0,17.0,14.0,14.0,14.0
62,B6,00,2.064516129032258,-31.0,55.0,5.580645161290323,-13.0,68.0
260,US,00,13.03225806451613,-19.0,118.0,12.838709677419354,-7.0,136.0
14,AA,00,12.964285714285714,-23.0,141.0,16.035714285714285,-8.0,149.0
110,EV,00,25.333333333333332,-6.0,47.0,8.666666666666666,-9.0,21.0
39,AS,01,-4.4,-31.0,60.0,4.3,-10.0,62.0
87,DL,01,0.7272727272727273,-29.0,57.0,6.909090909090909,-5.0,55.0
306,WN,01,16.333333333333332,-24.0,88.0,24.0,-2.0,59.0
261,US,01,4.230769230769231,-19.0,31.0,0.6153846153846154,-8.0,8.0
63,B6,01,9.23076923076923,-26.0,57.0,8.692307692307692,-9.0,56.0
215,OO,01,-12.0,-12.0,-12.0,11.0,11.0,11.0
237,UA,01,13.619047619047619,-23.0,69.0,30.571428571428573,-7.0,113.0
