,Airline,Hour,AvgDelay,LowDelay,HighDelay,Count
0,AA,-1,18.02,-20.0,1190.0,57.46
13,WN,-1,10.53,-14.0,297.0,114.29
11,US,-1,3.61,-15.0,293.0,42.83
10,UA,-1,14.81,-13.0,492.0,52.88
9,OO,-1,13.01,-27.0,310.0,59.46
8,NK,-1,10.18,-21.0,169.0,11.12
7,MQ,-1,13.72,-19.0,236.0,29.21
12,VX,-1,1.56,-16.0,73.0,6.33
5,F9,-1,14.98,-14.0,183.0,10.88
4,EV,-1,5.15,-22.0,373.0,52.25
3,DL,-1,3.46,-19.0,860.0,64.71
2,B6,-1,5.62,-18.0,184.0,31.54
1,AS,-1,1.21,-21.0,160.0,18.29
6,HA,-1,4.22,-13.0,171.0,8.71
236,US,00,6.0,-2.0,14.0,2.0
80,DL,00,-4.25,-14.0,3.0,8.0
214,UA,00,-6.0,-6.0,-6.0,1.0
35,AS,00,-5.0,-11.0,-1.0,4.0
14,AA,00,-8.0,-11.0,-5.0,4.0
174,NK,00,9.5,-6.0,25.0,2.0
81,DL,01,-4.5,-6.0,-3.0,2.0
215,UA,01,0.0,-3.0,3.0,2.0
36,AS,01,-11.5,-15.0,-8.0,2.0
57,B6,01,-2.0,-2.0,-2.0,1.0
175,NK,01,15.6,-4.0,72.0,5.0
237,US,01,-9.5,-10.0,-9.0,2.0
138,HA,01,0.0,0.0,0.0,1.0
15,AA,01,0.0,-11.0,21.0,4.0
216,UA,02,-1.0,-1.0,-1.0,1.0
58,B6,02,-10.5,-14.0,-7.0,2.0
238,US,02,-11.0,-11.0,-11.0,1.0
37,AS,02,-10.5,-11.0,-10.0,2.0
59,B6,03,-8.5,-14.0,-3.0,2.0
60,B6,04,40.0,-11.0,95.0,4.0
217,UA,05,7.06,-6.0,56.0,18.0
61,B6,05,-0.23,-11.0,43.0,13.0
82,DL,05,26.67,-9.0,148.0,6.0
239,US,05,7.17,-6.0,60.0,6.0
195,OO,05,10.42,-10.0,119.0,19.0
176,NK,05,-5.67,-9.0,-4.0,3.0
101,EV,05,8.2,-18.0,213.0,20.0
139,HA,05,-7.6,-11.0,-1.0,5.0
276,WN,05,-2.0,-2.0,-2.0,1.0
38,AS,05,-6.0,-8.0,-4.0,2.0
119,F9,05,3.75,-10.0,36.0,4.0
16,AA,05,21.42,-7.0,108.0,12.0
218,UA,06,4.98,-9.0,111.0,64.0
140,HA,06,0.8,-8.0,47.0,10.0
62,B6,06,1.0,-12.0,93.0,59.0
277,WN,06,2.04,-7.0,136.0,47.0
157,MQ,06,8.24,-7.0,164.0,17.0
120,F9,06,8.21,-11.0,80.0,24.0
83,DL,06,2.25,-10.0,124.0,76.0
39,AS,06,-3.31,-16.0,67.0,32.0
17,AA,06,3.12,-12.0,164.0,72.0
196,OO,06,2.12,-11.0,131.0,85.0
258,VX,06,-7.0,-7.0,-7.0,1.0
102,EV,06,8.53,-15.0,364.0,49.0
177,NK,06,11.05,-9.0,108.0,21.0
240,US,06,2.31,-10.0,164.0,36.0
197,OO,07,10.61,-13.0,199.0,62.0
121,F9,07,6.54,-13.0,65.0,13.0
158,MQ,07,17.19,-9.0,236.0,21.0
219,UA,07,8.16,-9.0,328.0,85.0
103,EV,07,3.76,-11.0,164.0,49.0
141,HA,07,7.6,-9.0,107.0,10.0
178,NK,07,8.35,-6.0,63.0,20.0
84,DL,07,1.64,-9.0,171.0,94.0
18,AA,07,6.86,-11.0,205.0,95.0
278,WN,07,0.59,-10.0,58.0,106.0
40,AS,07,2.06,-15.0,124.0,36.0
241,US,07,-2.69,-11.0,18.0,39.0
63,B6,07,-1.68,-16.0,133.0,50.0
259,VX,07,-3.2,-5.0,-1.0,5.0
260,VX,08,-2.64,-8.0,2.0,11.0
104,EV,08,0.21,-10.0,85.0,53.0
179,NK,08,1.5,-9.0,46.0,16.0
41,AS,08,-0.55,-12.0,17.0,29.0
85,DL,08,6.45,-13.0,165.0,128.0
242,US,08,2.1,-10.0,126.0,58.0
198,OO,08,8.73,-14.0,264.0,104.0
122,F9,08,0.76,-11.0,36.0,17.0
64,B6,08,-0.02,-15.0,113.0,48.0
159,MQ,08,-1.92,-11.0,31.0,24.0
220,UA,08,6.44,-9.0,127.0,100.0
142,HA,08,6.41,-10.0,55.0,17.0
279,WN,08,-0.75,-11.0,77.0,129.0
19,AA,08,11.72,-13.0,339.0,85.0
160,MQ,09,8.15,-8.0,169.0,33.0
123,F9,09,10.38,-10.0,68.0,8.0
143,HA,09,16.38,-12.0,171.0,16.0
42,AS,09,3.51,-9.0,105.0,35.0
180,NK,09,13.0,-13.0,89.0,15.0
105,EV,09,0.93,-11.0,139.0,75.0
261,VX,09,5.73,-7.0,56.0,11.0
280,WN,09,2.1,-10.0,297.0,156.0
221,UA,09,19.08,-10.0,492.0,77.0
20,AA,09,7.25,-15.0,188.0,80.0
199,OO,09,9.96,-14.0,190.0,89.0
65,B6,09,7.5,-12.0,167.0,46.0
86,DL,09,3.18,-10.0,157.0,114.0
243,US,09,0.12,-10.0,87.0,78.0
21,AA,10,14.96,-10.0,332.0,67.0
161,MQ,10,5.27,-10.0,53.0,37.0
244,US,10,-1.24,-9.0,28.0,42.0
87,DL,10,0.48,-10.0,74.0,90.0
124,F9,10,0.7,-11.0,47.0,20.0
43,AS,10,-4.07,-13.0,28.0,29.0
66,B6,10,8.74,-15.0,175.0,38.0
262,VX,10,-2.17,-9.0,21.0,12.0
106,EV,10,1.66,-22.0,175.0,95.0
200,OO,10,12.64,-15.0,167.0,98.0
144,HA,10,-0.56,-11.0,39.0,16.0
181,NK,10,6.0,-9.0,31.0,14.0
222,UA,10,9.03,-9.0,163.0,71.0
281,WN,10,2.62,-10.0,134.0,204.0
263,VX,11,5.45,-8.0,59.0,11.0
145,HA,11,0.2,-13.0,35.0,10.0
223,UA,11,19.74,-9.0,296.0,93.0
125,F9,11,11.0,-12.0,67.0,8.0
245,US,11,3.25,-13.0,86.0,95.0
22,AA,11,7.2,-14.0,113.0,75.0
88,DL,11,2.98,-8.0,243.0,130.0
107,EV,11,2.17,-16.0,142.0,69.0
201,OO,11,12.02,-20.0,310.0,108.0
44,AS,11,13.45,-14.0,123.0,22.0
67,B6,11,-2.6,-18.0,33.0,40.0
182,NK,11,8.93,-15.0,62.0,14.0
282,WN,11,3.79,-11.0,63.0,210.0
162,MQ,11,3.45,-14.0,113.0,44.0
163,MQ,12,9.21,-9.0,122.0,48.0
283,WN,12,8.5,-11.0,137.0,202.0
202,OO,12,10.58,-15.0,149.0,103.0
264,VX,12,1.4,-4.0,9.0,5.0
183,NK,12,23.73,-8.0,91.0,11.0
246,US,12,8.45,-8.0,248.0,38.0
224,UA,12,12.87,-13.0,110.0,70.0
146,HA,12,1.0,-8.0,41.0,12.0
108,EV,12,6.5,-17.0,373.0,111.0
126,F9,12,9.86,-8.0,66.0,14.0
89,DL,12,6.23,-11.0,511.0,132.0
23,AA,12,13.67,-10.0,357.0,90.0
45,AS,12,-2.0,-13.0,17.0,19.0
68,B6,12,3.85,-14.0,87.0,41.0
184,NK,13,1.18,-10.0,24.0,11.0
109,EV,13,4.5,-14.0,217.0,101.0
247,US,13,8.66,-7.0,293.0,79.0
127,F9,13,12.75,-9.0,49.0,12.0
46,AS,13,0.93,-16.0,82.0,29.0
265,VX,13,-3.2,-6.0,0.0,10.0
164,MQ,13,11.22,-12.0,81.0,58.0
90,DL,13,2.36,-10.0,78.0,116.0
284,WN,13,9.52,-8.0,135.0,199.0
147,HA,13,3.38,-9.0,41.0,13.0
24,AA,13,28.25,-11.0,1190.0,93.0
69,B6,13,5.9,-15.0,112.0,42.0
225,UA,13,12.71,-9.0,178.0,85.0
203,OO,13,16.23,-14.0,305.0,123.0
91,DL,14,0.92,-12.0,44.0,75.0
285,WN,14,9.44,-9.0,106.0,201.0
185,NK,14,7.5,-14.0,40.0,14.0
25,AA,14,17.29,-20.0,199.0,97.0
70,B6,14,11.8,-15.0,184.0,41.0
226,UA,14,10.51,-10.0,85.0,74.0
110,EV,14,5.06,-13.0,224.0,109.0
248,US,14,2.16,-10.0,41.0,68.0
204,OO,14,12.12,-13.0,164.0,85.0
128,F9,14,13.83,-14.0,67.0,23.0
148,HA,14,4.21,-10.0,40.0,19.0
165,MQ,14,12.87,-11.0,161.0,63.0
47,AS,14,3.2,-12.0,91.0,20.0
266,VX,14,7.12,-6.0,73.0,8.0
92,DL,15,3.89,-13.0,149.0,148.0
166,MQ,15,21.79,-12.0,191.0,56.0
149,HA,15,0.58,-4.0,14.0,12.0
286,WN,15,12.61,-9.0,134.0,207.0
48,AS,15,-0.52,-19.0,68.0,21.0
129,F9,15,13.61,-14.0,53.0,18.0
186,NK,15,5.88,-15.0,38.0,17.0
26,AA,15,13.91,-13.0,115.0,86.0
205,OO,15,19.08,-12.0,136.0,95.0
267,VX,15,-1.86,-7.0,2.0,7.0
227,UA,15,9.33,-10.0,120.0,76.0
71,B6,15,8.08,-13.0,119.0,39.0
249,US,15,1.67,-10.0,47.0,55.0
111,EV,15,4.38,-11.0,235.0,98.0
206,OO,16,9.57,-18.0,204.0,88.0
228,UA,16,21.68,-10.0,309.0,68.0
93,DL,16,0.85,-10.0,47.0,107.0
250,US,16,3.54,-10.0,97.0,65.0
268,VX,16,-1.33,-6.0,11.0,9.0
72,B6,16,5.91,-14.0,64.0,35.0
112,EV,16,3.59,-20.0,106.0,102.0
130,F9,16,9.44,-9.0,63.0,9.0
187,NK,16,15.0,-12.0,77.0,11.0
150,HA,16,3.62,-3.0,16.0,13.0
27,AA,16,21.26,-11.0,308.0,84.0
287,WN,16,13.4,-7.0,107.0,199.0
49,AS,16,-4.0,-17.0,22.0,17.0
167,MQ,16,17.55,-11.0,98.0,58.0
73,B6,17,9.95,-17.0,137.0,39.0
269,VX,17,7.4,-9.0,55.0,20.0
28,AA,17,30.14,-18.0,309.0,103.0
131,F9,17,14.36,-11.0,75.0,14.0
207,OO,17,14.28,-27.0,185.0,103.0
94,DL,17,3.4,-12.0,133.0,95.0
151,HA,17,1.77,-6.0,21.0,13.0
168,MQ,17,22.03,-12.0,216.0,58.0
113,EV,17,6.4,-15.0,251.0,92.0
251,US,17,4.95,-15.0,79.0,81.0
50,AS,17,0.86,-12.0,82.0,35.0
188,NK,17,6.38,-9.0,58.0,16.0
229,UA,17,20.42,-10.0,280.0,83.0
288,WN,17,16.72,-10.0,227.0,204.0
169,MQ,18,17.62,-16.0,128.0,64.0
289,WN,18,16.91,-11.0,133.0,213.0
114,EV,18,7.65,-20.0,100.0,60.0
252,US,18,10.06,-12.0,136.0,66.0
74,B6,18,6.42,-15.0,158.0,52.0
230,UA,18,18.44,-13.0,178.0,59.0
132,F9,18,24.0,-2.0,128.0,15.0
189,NK,18,5.0,-12.0,37.0,16.0
51,AS,18,11.16,-12.0,160.0,32.0
95,DL,18,4.73,-13.0,99.0,48.0
29,AA,18,24.13,-12.0,165.0,98.0
208,OO,18,23.43,-13.0,130.0,83.0
152,HA,18,3.82,-5.0,27.0,11.0
270,VX,18,0.15,-16.0,48.0,13.0
253,US,19,1.87,-14.0,115.0,61.0
52,AS,19,1.08,-12.0,60.0,24.0
30,AA,19,27.97,-12.0,286.0,76.0
271,VX,19,-1.67,-11.0,7.0,9.0
115,EV,19,10.77,-19.0,192.0,90.0
190,NK,19,38.42,-6.0,169.0,12.0
290,WN,19,19.03,-11.0,214.0,199.0
96,DL,19,2.5,-19.0,74.0,80.0
231,UA,19,26.62,-9.0,151.0,85.0
209,OO,19,17.07,-13.0,172.0,61.0
170,MQ,19,12.8,-19.0,119.0,46.0
153,HA,19,12.78,-2.0,91.0,9.0
133,F9,19,32.05,-10.0,110.0,21.0
75,B6,19,5.18,-13.0,82.0,40.0
31,AA,20,33.37,-9.0,211.0,68.0
291,WN,20,20.84,-10.0,108.0,154.0
254,US,20,3.8,-9.0,54.0,61.0
116,EV,20,5.27,-16.0,102.0,41.0
134,F9,20,24.47,-6.0,97.0,15.0
272,VX,20,3.22,-10.0,20.0,9.0
154,HA,20,2.33,-6.0,16.0,9.0
232,UA,20,24.67,-7.0,138.0,45.0
191,NK,20,9.05,-14.0,120.0,22.0
76,B6,20,6.31,-12.0,62.0,51.0
97,DL,20,-1.24,-11.0,29.0,50.0
53,AS,20,0.14,-19.0,36.0,14.0
171,MQ,20,23.24,-11.0,101.0,34.0
210,OO,20,15.36,-21.0,128.0,55.0
172,MQ,21,15.82,-8.0,99.0,33.0
135,F9,21,32.88,-8.0,183.0,16.0
233,UA,21,29.17,-7.0,126.0,36.0
292,WN,21,21.01,-14.0,99.0,99.0
77,B6,21,9.39,-16.0,80.0,36.0
211,OO,21,14.8,-13.0,82.0,30.0
32,AA,21,21.67,-8.0,211.0,52.0
54,AS,21,-5.71,-17.0,5.0,14.0
155,HA,21,9.5,-7.0,80.0,8.0
255,US,21,4.44,-12.0,25.0,25.0
192,NK,21,7.62,-21.0,66.0,16.0
117,EV,21,13.4,-11.0,174.0,35.0
98,DL,21,-1.32,-10.0,19.0,25.0
273,VX,21,20.0,-10.0,69.0,3.0
274,VX,22,-6.5,-11.0,-2.0,2.0
136,F9,22,48.6,-6.0,106.0,5.0
293,WN,22,22.0,-5.0,134.0,13.0
156,HA,22,1.0,-12.0,26.0,5.0
118,EV,22,15.2,-9.0,58.0,5.0
256,US,22,0.16,-9.0,39.0,55.0
55,AS,22,4.0,-21.0,62.0,6.0
173,MQ,22,13.86,-3.0,51.0,7.0
234,UA,22,11.53,-9.0,77.0,47.0
78,B6,22,10.42,-9.0,65.0,19.0
99,DL,22,-2.6,-8.0,9.0,15.0
33,AA,22,38.36,-7.0,162.0,25.0
212,OO,22,19.54,-12.0,110.0,28.0
193,NK,22,33.0,-15.0,128.0,5.0
34,AA,23,13.0,-6.0,89.0,13.0
100,DL,23,61.36,-8.0,860.0,14.0
213,OO,23,17.25,-9.0,108.0,8.0
137,F9,23,21.2,-10.0,47.0,5.0
235,UA,23,13.17,-11.0,74.0,29.0
56,AS,23,1.47,-16.0,66.0,15.0
275,VX,23,-4.33,-9.0,-1.0,6.0
257,US,23,21.0,-13.0,217.0,15.0
194,NK,23,6.5,-5.0,38.0,6.0
79,B6,23,20.47,-8.0,80.0,19.0
