AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,
34,0,0,2,2,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,
0,0,0,0,0,2,0,0,5,18,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,
0,0,0,1,0,2,0,0,0,6,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,
2,0,1,25,120,35,0,0,14,10,0,10,0,4,21,3,0,1,1,4,5,0,6,11,11,0,0,9,0,4,0,7,6,23,7,7,4,11,10,0,0,0,0,2,56,16,4,0,0,19,4,0,0,
2,0,0,121,541,92,0,0,43,28,0,67,0,13,75,3,1,2,6,24,5,0,9,20,14,0,2,17,0,0,0,35,11,111,64,6,2,63,16,0,0,0,0,6,164,51,33,0,0,99,2,0,3,
1,2,2,36,95,41,1,0,30,20,0,4,6,11,32,5,5,5,8,7,4,0,9,10,14,0,15,5,19,8,0,11,3,18,11,9,8,13,9,0,0,0,9,10,82,19,16,0,0,22,9,0,11,
0,0,0,0,0,1,0,0,16,6,0,0,0,0,5,0,0,0,0,0,6,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,5,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,6,0,15,39,29,16,1,75,127,0,0,0,0,66,10,0,10,9,49,37,0,31,19,14,0,0,60,0,0,3,83,0,10,179,25,0,0,51,39,10,4,0,20,125,3,70,6,0,5,7,0,0,
0,18,6,12,29,19,6,0,125,29,0,1,2,0,29,12,3,11,24,12,12,1,19,12,16,10,2,43,1,5,1,12,2,10,40,19,8,3,25,6,2,17,2,20,65,8,38,3,1,6,11,2,1,
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,10,67,4,0,0,0,1,1,170,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,6,0,0,0,0,0,0,4,1,1,0,0,15,0,0,0,
0,0,0,0,0,6,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,
0,0,0,4,13,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,2,0,0,0,
2,7,11,22,72,34,4,0,64,27,0,2,23,2,34,19,7,17,4,19,7,0,48,26,27,2,1,24,6,13,5,14,3,17,56,37,8,7,24,3,5,5,6,25,59,5,37,0,3,13,39,1,1,
0,0,0,4,2,4,0,0,9,11,0,0,0,0,22,0,0,0,0,0,2,0,3,3,2,0,0,3,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,
0,0,0,0,1,4,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,
0,0,0,2,1,5,0,0,10,10,0,0,0,0,16,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,1,15,1,2,0,0,1,1,0,0,
0,0,0,1,6,6,0,0,11,23,0,0,0,0,3,0,0,0,0,1,1,0,2,1,2,0,0,5,0,0,0,4,0,2,6,0,0,0,1,0,0,0,0,2,62,0,2,0,0,1,0,0,0,
0,0,0,5,23,7,0,0,50,12,0,0,0,0,19,0,0,0,1,0,10,0,7,4,2,0,0,13,0,0,0,9,0,2,16,2,0,1,9,4,0,2,0,1,15,1,16,2,0,3,1,0,0,
0,2,1,4,4,4,5,0,41,12,0,0,0,0,7,2,0,1,1,10,0,3,7,2,6,0,0,14,0,0,6,0,1,5,14,6,1,0,2,1,6,4,0,4,17,2,2,0,0,1,2,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,2,0,7,9,8,2,0,33,15,0,0,2,0,48,3,0,2,2,7,6,0,21,9,7,0,0,11,0,1,0,8,0,8,13,2,2,1,7,0,1,0,0,3,16,4,5,0,2,4,8,0,0,
1,0,0,12,20,10,1,0,20,12,0,0,1,1,24,2,1,3,1,4,2,0,8,20,7,0,4,5,6,2,0,4,2,5,7,4,2,3,3,0,0,0,6,2,12,3,6,0,0,7,7,0,1,
0,0,0,11,13,13,0,0,14,16,0,0,0,0,26,1,0,0,2,3,4,0,6,6,5,0,0,8,0,1,0,9,1,8,3,1,2,1,1,0,0,0,0,4,43,2,4,0,0,2,3,0,0,
0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,
0,0,0,0,3,16,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,
0,0,0,10,14,5,4,0,61,41,0,0,0,0,21,2,0,0,5,14,14,1,9,6,8,0,0,18,0,0,0,17,0,4,38,5,0,1,21,3,3,0,0,9,38,1,19,1,0,2,0,0,0,
0,0,0,0,0,18,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,
0,0,0,3,0,7,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,
0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,7,31,10,0,0,77,12,0,1,1,0,11,5,0,5,3,8,0,0,7,4,8,0,0,16,0,1,0,0,0,3,2,7,0,1,0,6,1,5,0,9,21,1,6,1,0,5,3,0,1,
0,0,0,7,12,3,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,16,1,0,0,0,2,0,0,0,
1,1,1,25,114,17,0,0,9,9,0,2,1,2,16,2,1,1,2,2,4,0,8,5,7,0,0,5,0,2,0,3,4,15,11,4,3,7,7,0,0,0,0,3,45,14,4,0,0,16,3,0,0,
0,0,0,7,63,10,0,0,175,38,0,2,0,0,57,1,0,2,5,14,14,2,12,8,3,0,0,37,0,0,0,2,1,10,29,11,0,2,2,19,0,6,0,8,35,5,16,2,3,4,3,0,0,
0,0,0,6,6,10,0,0,24,19,0,0,0,0,34,0,0,0,0,2,6,0,1,3,1,0,0,5,0,0,0,5,0,4,12,0,0,0,0,0,0,0,0,2,20,0,6,0,0,0,1,0,0,
0,0,0,4,2,6,0,0,0,8,0,0,0,0,8,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,3,2,0,0,0,0,0,0,
3,0,0,11,62,12,0,0,0,3,0,5,0,0,7,0,0,0,0,1,0,0,1,3,1,0,0,2,0,0,0,1,1,7,2,0,0,0,0,0,0,0,0,0,6,10,2,0,0,4,0,0,0,
0,0,0,10,11,10,0,0,48,24,0,0,0,0,21,1,0,0,1,9,2,0,6,2,1,0,0,20,0,0,0,0,0,6,2,0,0,0,6,3,0,0,0,3,25,1,2,1,0,3,0,0,0,
0,0,0,0,0,0,2,0,37,6,0,0,0,0,3,0,0,0,0,5,2,0,0,0,0,0,0,3,0,0,0,6,0,0,18,0,0,0,3,0,0,0,0,0,4,0,2,3,0,0,0,0,0,
0,0,0,0,0,0,0,0,10,2,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,4,15,0,0,0,0,4,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,1,12,0,4,0,0,0,0,0,0,
0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,
0,0,0,2,7,9,0,0,15,21,0,0,0,0,27,0,0,1,2,1,6,0,5,1,4,0,0,8,0,0,0,8,0,3,7,3,0,0,3,0,0,1,0,0,37,1,6,0,0,0,0,0,0,
0,21,21,54,165,85,3,0,123,64,0,5,10,1,49,13,6,15,64,14,16,0,18,8,42,19,1,38,3,9,0,21,17,44,36,18,28,6,25,4,0,13,5,36,375,17,40,0,0,19,9,2,2,
0,0,0,14,49,21,0,0,3,8,0,1,0,12,8,0,0,1,1,1,2,0,3,4,2,0,14,2,1,1,0,1,1,12,5,0,3,11,2,0,0,0,1,1,14,15,1,0,0,10,0,0,7,
0,0,0,4,32,15,6,0,69,36,0,1,0,0,36,4,0,2,2,17,2,0,6,7,6,0,0,17,0,0,0,6,0,4,17,4,2,2,3,2,2,4,0,7,39,1,7,1,0,5,2,0,0,
0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,0,0,20,100,23,0,0,5,6,0,14,0,1,12,0,0,1,1,4,1,0,4,7,2,0,0,2,0,1,0,5,2,14,4,0,0,4,4,0,0,0,0,0,20,9,5,0,0,13,1,0,0,
0,0,0,4,2,8,0,0,7,10,0,0,0,0,41,0,0,0,0,2,1,0,8,9,2,0,0,0,0,0,0,4,0,3,2,1,0,0,0,0,0,0,0,0,8,0,2,0,0,1,0,0,0,
0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
0,0,0,0,3,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,2,
