,Airport,Hour,AIRPORT_POS,AvgDelay,LowDelay,HighDelay,Count
0,ABE,-1,"{'lat': 40.652359999999994, 'lon': -75.4404}",-5.0,-8.0,0.0,3
204,MSY,-1,"{'lat': 29.99339, 'lon': -90.25803}",6.989010989010989,-15.0,169.0,91
203,MSP,-1,"{'lat': 44.88055, 'lon': -93.21692}",6.219730941704036,-14.0,170.0,223
202,MSO,-1,"{'lat': 46.916309999999996, 'lon': -114.09056000000001}",17.2,-14.0,120.0,5
201,MSN,-1,"{'lat': 43.13986, 'lon': -89.33751}",16.75,-14.0,143.0,20
200,MRY,-1,"{'lat': 36.58698, 'lon': -121.84295}",-7.2,-18.0,-1.0,10
199,MQT,-1,"{'lat': 46.353640000000006, 'lon': -87.39536}",-7.0,-7.0,-7.0,1
205,MTJ,-1,"{'lat': 38.50887, 'lon': -107.89383000000001}",-0.2,-12.0,25.0,5
198,MOT,-1,"{'lat': 48.25938, 'lon': -101.28033}",-1.6666666666666667,-11.0,19.0,6
196,MMH,-1,"{'lat': 37.62405, 'lon': -118.83776999999999}",-3.5,-10.0,3.0,2
195,MLU,-1,"{'lat': 32.510870000000004, 'lon': -92.03769}",16.833333333333332,-5.0,70.0,6
193,MLB,-1,"{'lat': 28.10275, 'lon': -80.64581}",-2.6666666666666665,-3.0,-2.0,3
192,MKG,-1,"{'lat': 43.16949, 'lon': -86.23822}",-9.0,-10.0,-8.0,2
191,MKE,-1,"{'lat': 42.94722, 'lon': -87.89658}",7.794117647058823,-18.0,152.0,68
190,MIA,-1,"{'lat': 25.79325, 'lon': -80.29056}",7.396396396396397,-12.0,165.0,222
197,MOB,-1,"{'lat': 30.69142, 'lon': -88.24283}",11.181818181818182,-7.0,65.0,11
206,MYR,-1,"{'lat': 33.67975, 'lon': -78.92833}",-9.857142857142858,-21.0,7.0,7
207,OAJ,-1,"{'lat': 34.829159999999995, 'lon': -77.61214}",-8.0,-8.0,-8.0,2
208,OAK,-1,"{'lat': 37.72129, 'lon': -122.22072}",10.075268817204302,-15.0,109.0,93
223,PHX,-1,"{'lat': 33.43417, 'lon': -112.00806000000001}",13.052380952380952,-12.0,286.0,420
222,PHL,-1,"{'lat': 39.87195, 'lon': -75.24114}",4.1879194630872485,-14.0,164.0,149
221,PHF,-1,"{'lat': 37.1319, 'lon': -76.49299}",-2.3333333333333335,-6.0,4.0,3
220,PDX,-1,"{'lat': 45.58872, 'lon': -122.5975}",1.2136752136752136,-13.0,134.0,117
219,PBI,-1,"{'lat': 26.683159999999997, 'lon': -80.09559}",1.170731707317073,-15.0,158.0,82
218,PAH,-1,"{'lat': 37.060829999999996, 'lon': -88.77375}",1.5,-9.0,12.0,2
217,OTZ,-1,"{'lat': 66.88468, 'lon': -162.59855}",-3.0,-3.0,-3.0,1
216,ORH,-1,"{'lat': 42.267340000000004, 'lon': -71.87571}",1.5,-14.0,17.0,2
